SiteNumber,Drainage
03007800,248.0
03010500,550.0
03010655,98.7
03010820,1168.0
03011020,1608.0
03011800,38.8
03012550,2180.0
03015000,816.0
03015310,3131.0
03015500,321.0
03016000,3660.0
03017500,233.0
03020000,479.0
03020500,283.0
03021350,92.0
03021520,221.0
03022540,31.1
03022554,45.6
03023100,788.0
03024000,1028.0
03025500,5982.0
03026480,8.32
03026500,7.84
03027500,73.2
03028000,63.0
03028500,204.0
03029000,303.0
03029500,807.0
03030500,951.0
03031500,7671.0
03031882,328.0
03032500,528.0
03034000,158.0
03034500,87.4
03036000,344.0
03036500,8973.0
03038000,191.0
03039000,278.0
03040000,451.0
03041029,678.0
03041500,715.0
03042000,193.0
03042280,57.4
03042500,171.0
03044000,1358.0
03044810,8.0
03045000,172.0
03047000,290.0
03048500,1825.0
03048900,125.0
03049500,11410.0
03049800,5.78
03051000,415.0
03052000,149.0
03052120,94.7
03052500,14.3
03053500,277.0
03054500,919.0
03056250,96.7
03057000,1367.0
03058000,101.0
03058500,181.0
03061000,759.0
03061500,116.0
03062500,63.0
03065000,347.0
03066000,86.1
03067510,60.1
03068800,150.0
03069500,718.0
307020015,971.0
03070500,200.0
03072000,229.0
03072655,4440.0
03073000,180.0
03074500,73.7
03075070,5340.0
03075500,134.0
03075825,3.53
03075850,1.03
03075905,13.1
03076100,250.0
03076500,295.0
03076600,48.9
03077500,436.0
03078000,64.2
03079000,382.0
03080000,121.0
03081000,1029.0
03081500,1062.0
03082500,1326.0
03083500,1715.0
03085500,257.0
03086000,19500.0
03091500,273.0
03093000,97.6
03094000,575.0
03094704,18.5
03095500,97.5
03098600,978.0
03099500,1073.0
03101500,167.0
03102500,104.0
03102850,337.0
03103500,584.0
03105500,2235.0
03106000,356.0
03106500,398.0
03107500,3106.0
03108000,178.0
03109500,496.0
03110000,147.0
03110830,48.9
03110955,53.5
03111500,123.0
03111548,97.7
03112000,282.0
03113990,127.0
311404647,18.6
03114250,99.6
03114283,25.5
03114306,26188.0
03114350,63.1
03114431,348.0
03114500,459.0
03115400,210.0
03115644,99.5
03115712,84.5
03115786,260.0
03115917,65.7
03116000,174.0
03116077,50.4
03116196,143.0
03117000,508.0
03117500,253.0
03118000,43.1
03118500,172.0
03121500,70.0
03124500,311.0
03125900,36.6
03127000,282.0
03129000,2443.0
03129197,28.0
03131300,301.0
03136500,202.0
03139000,464.0
03140000,27.2
03140500,4859.0
03141870,69.5
03144000,140.0
03144500,5993.0
03144816,47.0
03145000,133.0
03145173,181.0
03145483,78.2
03146000,116.0
03146402,240.0
03146500,537.0
03149500,75.7
03150000,7422.0
03150500,7947.0
03151400,112.0
03151915,79.1
03152000,387.0
03154000,205.0
03155000,1516.0
03155220,229.0
03156400,48.2
03157000,89.0
03157500,459.0
03159500,943.0
03159540,156.0
03161000,205.0
03164000,1141.0
03165000,39.4
03165500,1350.0
03167000,258.0
03168000,2212.0
03170000,300.0
03171000,2767.0
03173000,299.0
03175500,223.0
03177120,73.1
03177710,44.3
03179000,395.0
03180500,133.0
03181949,103.0
03182500,539.0
03182700,143.0
03183500,1328.0
03184000,1623.0
03185000,52.7
03185400,6752.0
03186500,128.0
03187500,80.4
03188900,32.8
03189100,528.0
03190000,288.0
03191500,40.7
03192000,1316.0
03193000,8385.0
03194700,266.0
03197000,1145.0
03197790,43.7
03197950,1532.0
03198000,10463.0
03198350,63.3
03198500,390.0
03199000,269.0
03200500,858.0
03201000,238.0
03201405,27.7
03202000,585.0
03202300,261.0
03202400,307.0
03202750,126.0
03203600,833.0
03204346,38.3
03204500,256.0
03205470,302.0
03207061,402.0
03207800,297.0
03207965,6.2
03208500,286.0
03208950,66.5
03209000,221.0
03209200,526.0
03209500,1232.0
03210000,56.3
03212500,2144.0
03212750,174.0
03212980,209.0
03213000,503.0
03213500,31.0
03213700,936.0
03214500,1277.0
03215410,79.23
03216070,
03216500,400.0
03217000,242.0
03217424,160.0
03217500,257.0
03219500,567.0
03219781,74.1
03220000,178.0
03221000,980.0
03221646,1050.0
03223425,37.9
03226800,497.0
03227107,533.0
03227500,1629.0
03228300,101.0
03228689,46.0
03228750,64.9
03229500,544.0
03229610,2272.0
03229796,274.0
03230310,162.0
03230450,35.8
03230500,534.0
03230700,3217.0
03230800,228.0
03231500,3849.0
03232000,249.0
03232300,209.0
03232500,140.0
03234000,807.0
03234500,5131.0
03237020,5836.0
03237280,12.2
03237500,387.0
03238140,4.24
03238495,208.0
03238772,3.1
03238785,9.81
03240000,129.0
03241500,63.2
03245500,1203.0
03246500,237.0
03247500,476.0
03248300,107.0
03250100,84.7
03250190,84.5
03250322,4.2
03250500,1785.0
03251200,226.0
03251500,2326.0
03251900,
03252300,154.0
03253000,915.0
03253500,3300.0
03254693,3.14
03255349,50.0
03255420,61.1
03259198,3.88
03260015,6.39
03260050,12.8
03260100,4.03
03260706,40.4
03261500,541.0
03261950,152.0
03262001,24.2
03262500,866.0
03264000,193.0
03265000,503.0
03266560,36.6
03267000,162.0
03267900,310.0
03269500,490.0
03270000,635.0
03270500,2511.0
03271000,68.7
03271300,18.7
03271500,2711.0
03271620,2727.0
03272100,3134.0
03272700,69.0
03274000,3630.0
03275000,529.0
03275600,200.0
03276500,1224.0
03277075,36.6
03277130,36.4
03277200,83170.0
03277300,66.4
03277500,466.0
03280000,1101.0
03280700,61.3
03281000,537.0
03281100,163.0
03281500,722.0
03282000,2657.0
03282040,77.3
03282500,65.8
03283500,362.0
03284000,3955.0
03284230,4101.0
03284525,0.96
03284533,19.49
03284552,15.09
03285000,318.0
03286200,439.0
03286500,5036.0
03287000,5102.0
03287500,5411.0
03287590,4.05
03287600,21.5
03288110,
03288180,5.54
03289000,24.0
03289200,30.0
03289300,105.0
03289500,473.0
03290500,6180.0
03291000,42.9
03291500,437.0
03291780,27.5
03292470,70.3
03292474,6.0
03292494,91048.47
03293510,60.1
03293530,6.2
03294000,189.0
03294500,91170.0
03294550,24.4
03294570,13.5
03295890,259.0
03297800,12.1
03297900,79.9
03298000,138.0
03298135,5.47
03298200,213.0
03298500,1197.0
03298550,7.91
03300400,436.0
03301000,669.0
03301500,1299.0
03301900,3.5
03301940,11.1
03302000,64.0
03302030,80.3
03302220,65.2
03302680,19.0
03302800,283.0
03303000,476.0
03303280,97000.0
03303300,39.8
03305000,22.4
03307000,188.0
03308500,1673.0
03310000,38.12
03310300,360.0
03310400,85.4
03313700,110.0
03314000,478.0
03314500,1849.0
03318800,124.0
03320000,7566.0
03320500,194.0
03321350,58.2
03322011,33.4
03322485,113.0
03322900,453.0
03323000,532.0
03324000,263.0
03324200,85.6
03324300,425.0
03325000,1768.0
03325519,141.0
03327500,2686.0
03328000,417.0
03328500,789.0
03329000,3779.0
03329700,274.0
03330241,49.3
03330500,113.0
03331224,4.72
03331500,856.0
03331753,942.0
03332345,1284.0
03332349,66.52
03332555,1760.0
03332605,1790.0
03333050,1869.0
03333450,146.0
03333700,242.0
03334000,396.0
03334500,243.0
03335000,794.0
03335500,7267.0
33356848,172.0
03335960,10.45
03336000,8218.0
03336645,432.0
03336890,40.7
03336900,134.0
03337100,4.78
03337570,75.1
03339000,1290.0
03339280,33.2
03339305,284.43
03339500,512.0
03340500,11118.0
