date,ashland,athens,barkleydam,beaverfalls,beechforklake,belleville,branchland,brookville,calhoun,cannelton,catawba,charleston,dashields,elizabeth2,elizabeth,emsworth,evansville,fullersstation,golconda,grayson,greenup,hamilton,hannibal,higby,huntington,jt-myers,lockport,markland,mcalpine,mcconnelsville,meldahl,milford,montgomery,mountcarmel,natrona,newburgh,new-cumberland,old-shawneetown,perintown,pike-island,pointpleasant,racine,rc-byrd,shepherdsville,smithland,sutersville,wayne,willow-island,yatesvillelake
1994-01-01,44517.77,784.0,51400.0,2780.0,37.6,29186.02,849.0,1000.0,7100.0,56719.08,1700.0,9374.0,19779.64,3782.0,1012.0,19756.02,63592.03,3965.0,92317.46,186.0,44787.47,1700.0,23344.65,1235.0,39472.4,63641.71,4500.0,51398.55,56236.75,3200.0,46360.05,300.0,22669.23,27000.0,12900.0,56701.8,22887.09,92191.52,100.0,23060.5,37292.5,29267.77,38871.85,400.0,92293.6,2880.0,187.0,23563.57,180.7
1994-01-02,44203.62,727.0,51200.0,3030.0,37.6,30240.51,833.0,1000.0,7100.0,56557.7,1600.0,8865.0,21763.39,3512.0,846.0,21826.12,63480.18,3318.0,91750.58,177.0,44487.65,1700.0,24848.9,1024.0,46544.97,63558.68,4200.0,51149.1,55897.92,3471.0,46107.39,200.0,24783.89,26000.0,15600.0,56582.72,24868.03,91486.62,100.0,24766.25,45957.62,30169.5,39261.09,400.0,91768.96,2746.0,185.0,24867.86,181.5
1994-01-03,44524.77,698.0,51200.0,3080.0,39.5,31793.58,823.0,1000.0,7100.0,55897.19,1400.0,8555.0,21622.41,3478.0,821.0,21572.79,62970.71,2791.0,90369.51,169.0,44751.55,1600.0,25744.88,864.0,50252.61,63150.47,3500.0,50640.61,54916.15,4000.0,45888.71,200.0,24866.55,25000.0,14850.0,56050.32,25194.1,89963.05,100.0,25415.29,48204.86,31675.14,40314.19,400.0,90446.92,2880.0,183.0,25919.67,188.6
1994-01-04,46681.42,673.0,50800.0,3050.0,249.9,35180.77,815.0,1000.0,7100.0,54958.18,1300.0,8082.0,27550.72,7469.0,797.0,27767.79,62105.14,2537.0,88502.8,161.0,46772.67,1500.0,29916.72,740.0,50678.36,62371.4,3000.0,50840.75,54219.68,3800.0,46990.98,200.0,30404.9,24000.0,17399.0,55173.55,30416.4,88059.88,100.0,29986.93,48139.41,34834.34,42846.12,300.0,88612.54,2986.0,169.0,29707.76,250.8
1994-01-05,96277.3,1021.0,51400.0,3300.0,583.1,54574.29,6755.0,1021.0,6704.0,66066.14,7305.0,28955.0,26271.6,6434.0,18003.0,26115.96,69153.3,16212.0,92796.67,2785.0,95515.66,1892.0,31810.16,1740.0,85525.86,67356.65,21500.0,69600.66,77448.23,4059.0,75239.68,401.0,29913.42,26440.0,15900.0,63068.27,30609.07,93931.52,325.0,31132.4,84649.55,51976.54,75557.86,1669.0,92440.62,2761.0,2414.0,32125.4,1256.4
1994-01-06,120927.28,985.0,46000.0,3350.0,561.3,56561.16,5445.0,1021.0,6704.0,103472.1,10286.0,24920.0,28731.61,10147.0,12244.0,28763.75,97969.58,20595.0,113173.35,1881.0,122407.74,1819.0,33684.09,1784.0,100945.71,90474.02,26902.0,112087.61,126338.88,3950.0,118203.87,392.0,32192.92,26120.0,15000.0,93546.58,32706.65,117729.14,316.0,32989.13,93766.83,57050.52,88884.05,1706.0,111605.75,3031.0,1966.0,34108.59,1477.4
1994-01-07,112115.35,999.0,46400.0,3500.0,693.3,51066.18,5172.0,1077.0,6704.0,154043.62,11133.0,18880.0,28420.1,9911.0,6749.0,28303.35,144737.81,15019.0,151575.46,1713.0,115700.67,2004.0,34636.84,1904.0,93230.44,132858.71,31725.0,142366.44,167697.72,4004.0,127973.98,604.0,32244.91,25390.0,15000.0,141471.25,33026.05,158885.53,1029.0,33658.88,82500.57,52647.65,78984.18,3295.0,148690.87,2343.0,1511.0,35285.12,1792.4
1994-01-08,171865.73,2328.0,50100.0,4000.0,51.6,88635.52,19790.0,1227.0,13039.0,196139.05,24652.0,51926.0,61394.42,41638.0,29230.0,62711.6,198964.82,30921.0,204100.96,3846.0,172146.68,2188.0,58306.93,3611.0,136620.51,188281.36,41851.0,170767.25,202527.33,4313.0,157359.7,1237.0,63798.7,24660.0,15150.0,188365.31,62731.57,212485.07,977.0,59687.42,123549.1,84701.94,128033.41,6395.0,200288.6,6852.0,4048.0,56673.76,1585.3
1994-01-09,242069.16,1643.0,50700.0,3800.0,22.2,115725.08,15675.0,1049.0,20600.0,241918.67,24389.0,78409.0,70357.79,47300.0,30192.0,70347.55,250855.79,41423.0,263113.56,3886.0,242642.83,1763.0,77248.29,2862.0,214241.2,239233.23,44950.0,229025.72,257065.34,3943.0,226107.88,599.0,74522.59,23700.0,12450.0,232763.53,76191.12,268863.43,657.0,76350.48,208376.05,113447.42,188710.41,2900.0,259856.71,6602.0,3195.0,76719.5,1539.0
1994-01-10,234102.66,1320.0,50700.0,2190.0,889.9,100566.85,9250.0,1035.0,22515.0,296714.43,16205.0,42200.0,48440.46,23655.0,10120.0,47041.71,307963.87,38830.0,319611.29,2770.0,240074.61,1708.0,68760.98,2550.0,206294.51,295459.79,47601.0,275760.31,312132.75,3950.0,258839.63,380.0,53106.74,22743.0,12150.0,285861.83,57647.99,325561.08,877.0,63015.93,183724.39,105048.24,170181.03,2314.0,315985.42,5138.0,2230.0,72829.4,1523.9
